Algorithm,Scenario,Input Size,Steps,Execution Time (ms),Asymptotic Notation
Insertion Sort,reversed,100,10197,0.3681182861328125,O(n^2)
Merge Sort,reversed,100,2332,0.09417533874511719,O(n log n)
Quick Sort,reversed,100,1300,0.045299530029296875,"O(n log n) (avg), O(n^2) (worst)"
Heap Sort,reversed,100,3852,0.11515617370605469,O(n log n)
Selection Sort,reversed,100,7750,0.2856254577636719,O(n^2)
Radix Sort,reversed,100,2590,0.10585784912109375,O(n * d)
Counting Sort,reversed,100,1304,0.03218650817871094,O(n + k)

Bubble Sort,sorted,200,200,0.00858306884765625,O(n^2)
Insertion Sort,sorted,200,597,0.018358230590820312,O(n^2)
Merge Sort,sorted,200,5444,0.22339820861816406,O(n log n)
Quick Sort,sorted,200,4221,0.17118453979492188,"O(n log n) (avg), O(n^2) (worst)"
Heap Sort,sorted,200,11530,0.44846534729003906,O(n log n)
Selection Sort,sorted,200,20500,0.9243488311767578,O(n^2)
Radix Sort,sorted,200,5090,0.23889541625976562,O(n * d)
Counting Sort,sorted,200,2604,0.06270408630371094,O(n + k)

Bubble Sort,random,200,48284,1.779317855834961,O(n^2)
Insertion Sort,random,200,19387,0.6899833679199219,O(n^2)
Merge Sort,random,200,5910,0.3178119659423828,O(n log n)
Quick Sort,random,200,3593,0.14400482177734375,"O(n log n) (avg), O(n^2) (worst)"
Heap Sort,random,200,10463,0.4954338073730469,O(n log n)
Selection Sort,random,200,21277,1.2943744659423828,O(n^2)
Radix Sort,random,200,5090,0.2071857452392578,O(n * d)
Counting Sort,random,200,2604,0.14138221740722656,O(n + k)

Bubble Sort,reversed,200,79799,2.4690628051757812,O(n^2)
Insertion Sort,reversed,200,40397,1.8277168273925781,O(n^2)
Merge Sort,reversed,200,5364,0.19979476928710938,O(n log n)
Quick Sort,reversed,200,2989,0.12111663818359375,"O(n log n) (avg), O(n^2) (worst)"
Heap Sort,reversed,200,9122,0.3886222839355469,O(n log n)
Selection Sort,reversed,200,30500,1.657724380493164,O(n^2)
Radix Sort,reversed,200,5090,0.35262107849121094,O(n * d)
Counting Sort,reversed,200,2604,0.10085105895996094,O(n + k)

Bubble Sort,sorted,300,300,0.021219253540039062,O(n^2)
